
sanglier
panthère
cheval
Licorne
élan
éléphant
chameau
âne
lynx
loup
chat
Genette
hermine
Pégase
agneau 
bœuf
belette
lionceau
lévrier
truie
blaireau
tigre
renard
chevreuil
ours
taupe
zébre
vache
coq
